customer_id,age,gender,region,annual_income,membership_years,recency_days,frequency_last_year,monetary_last_year,avg_basket_value,online_purchase_ratio,preferred_category,_true_segment
C10000,35,Female,East,42783.17,1.63,146.4,7,202.36,30.64,0.28,Fashion,At-Risk / Churning
C10001,27,Female,South,50812.09,3.75,4.0,8,442.29,55.62,0.57,Beauty,Bargain Hunter
C10002,22,Male,North,54492.87,0.91,34.8,1,151.54,121.5,0.72,Home & Living,New / Occasional Shopper
C10003,61,Female,West,54866.92,2.18,103.8,7,534.47,77.82,0.1,Electronics,At-Risk / Churning
C10004,30,Female,East,86248.51,4.08,10.1,27,2744.61,100.22,0.45,Home & Living,High-Value Loyalist
C10005,33,Female,South,58301.39,0.1,27.7,4,115.78,31.91,0.12,Beauty,New / Occasional Shopper
C10006,32,Female,North,86499.11,2.25,83.9,6,317.54,56.89,0.51,Fashion,At-Risk / Churning
C10007,40,Female,West,71190.81,4.72,99.2,2,102.81,54.09,0.11,Beauty,At-Risk / Churning
C10008,42,Female,South,105269.67,8.87,11.1,37,4093.89,109.72,0.4,Home & Living,High-Value Loyalist
C10009,38,Female,South,46229.91,5.73,1.9,10,186.09,18.04,0.69,Beauty,Bargain Hunter
C10010,22,Female,West,40458.18,2.5,9.1,19,1471.89,78.26,0.84,Fashion,Young Digital Shopper
C10011,26,Female,East,44256.62,0.9,33.3,2,239.59,102.92,0.78,Sports,New / Occasional Shopper
C10012,43,Female,South,67461.05,5.41,69.4,3,176.04,57.78,0.67,Groceries,At-Risk / Churning
C10013,18,Female,West,15000.0,0.59,46.9,4,202.54,49.15,0.38,Beauty,New / Occasional Shopper
C10014,39,Male,West,45853.25,0.16,16.1,2,458.65,184.7,0.67,Fashion,Bargain Hunter
C10015,21,Male,West,48641.78,0.1,1.0,22,1176.16,53.29,0.86,Home & Living,Young Digital Shopper
C10016,18,Male,North,47134.67,4.02,8.2,14,318.73,22.42,0.58,Electronics,Bargain Hunter
C10017,45,Female,East,68269.0,2.37,14.0,23,2807.47,119.79,0.55,Home & Living,High-Value Loyalist
C10018,33,Female,North,21166.54,1.04,33.1,5,20.0,3.65,0.44,Groceries,New / Occasional Shopper
C10019,72,Female,North,69371.06,5.57,101.4,8,230.07,27.32,0.19,Beauty,At-Risk / Churning
C10020,34,Male,West,106196.89,3.87,93.2,2,388.23,252.85,0.33,Sports,At-Risk / Churning
C10021,27,Female,West,70955.46,1.25,7.9,17,797.87,46.61,0.85,Electronics,Young Digital Shopper
C10022,18,Male,East,57930.0,1.22,29.3,5,78.57,16.53,0.92,Groceries,New / Occasional Shopper
C10023,39,Male,North,51072.83,0.69,10.9,4,212.81,53.86,0.76,Sports,New / Occasional Shopper
C10024,63,Female,East,15000.0,7.62,77.1,3,20.0,7.49,0.37,Groceries,At-Risk / Churning
C10025,21,Female,South,39937.06,3.36,11.9,16,1088.66,66.84,0.73,Beauty,Young Digital Shopper
