customer_id,age,gender,region,annual_income,recency_days,frequency_last_year,monetary_last_year,avg_basket_value,online_purchase_ratio,preferred_category,cluster,segment_name
C10000,35,Female,East,42783.17,146.4,7,202.36,30.64,0.28,Fashion,4,At-Risk / Churning
C10001,27,Female,South,50812.09,4.0,8,442.29,55.62,0.57,Beauty,0,Price-Sensitive / Occasional Shoppers
C10002,22,Male,North,54492.87,34.8,1,151.54,121.5,0.72,Home & Living,0,Price-Sensitive / Occasional Shoppers
C10003,61,Female,West,54866.92,103.8,7,534.47,77.82,0.1,Electronics,4,At-Risk / Churning
C10004,30,Female,East,86248.51,10.1,27,2744.61,100.22,0.45,Home & Living,2,High-Value Loyalists
C10005,33,Female,South,58301.39,27.7,4,115.78,31.91,0.12,Beauty,0,Price-Sensitive / Occasional Shoppers
C10006,32,Female,North,86499.11,83.9,6,317.54,56.89,0.51,Fashion,4,At-Risk / Churning
C10007,40,Female,West,71190.81,99.2,2,102.81,54.09,0.11,Beauty,4,At-Risk / Churning
C10008,42,Female,South,105269.67,11.1,37,4093.89,109.72,0.4,Home & Living,2,High-Value Loyalists
C10009,38,Female,South,46229.91,1.9,10,186.09,18.04,0.69,Beauty,0,Price-Sensitive / Occasional Shoppers
C10010,22,Female,West,40458.18,9.1,19,1471.89,78.26,0.84,Fashion,3,Young Digital Shoppers
C10011,26,Female,East,44256.62,33.3,2,239.59,102.92,0.78,Sports,0,Price-Sensitive / Occasional Shoppers
C10012,43,Female,South,67461.05,69.4,3,176.04,57.78,0.67,Groceries,4,At-Risk / Churning
C10013,18,Female,West,15000.0,46.9,4,202.54,49.15,0.38,Beauty,0,Price-Sensitive / Occasional Shoppers
C10014,39,Male,West,45853.25,16.1,2,458.65,184.7,0.67,Fashion,0,Price-Sensitive / Occasional Shoppers
C10015,21,Male,West,48641.78,1.0,22,1176.16,53.29,0.86,Home & Living,3,Young Digital Shoppers
C10016,18,Male,North,47134.67,8.2,14,318.73,22.42,0.58,Electronics,3,Young Digital Shoppers
